,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
2017/01,108.420297112901,132.160679104007,103.493058442602,101.58566409404,109.908842190673,109.89636207,104.64283417667,93.603882444858,93.966136968666,91.027720412049,4.01171314,-2,16046797,50.7830289,30788.434,27412.402,27316.175,1875.009,25441.166,45.38,6.13,5.83,5.77,21.3732,101.0308,100.943842814806,3637816.046,43.20806254,54.62517028,51.546363335,28.6678724795978,53.1314877,50.8604237,102.661,100.1012,368658,5.1,143377,2.43,2275.116,19864.0909635,98.5
2017/02,105.284612566441,98.43841964096,100.366715483722,104.014820614372,108.309707974486,100.24538887,100.113971834775,94.144780335357,94.684255361601,91.557695575573,3.6413921,8,16141919,50.8231152,30586.757,27536.168,31345.973,1891.857,29454.116,44.75,6.44,6.06,6.14,20.3812,96.663,100.055814240382,3499870.641,43.33017152,53.00327866,51.123874065,31.5156096023492,49.9630122,52.3518914,102.2154,101.7033,365236,4.9,144406,2.42,2329.91052631579,20812.2404349,96.3
2017/03,111.905372937908,84.350988287792,108.000202149788,105.858340934731,115.422324110855,108.21073887,108.282967079849,94.722489332292,95.226519330966,91.610138364942,3.67782938,18,16255010,51.0779662,36110.316,32676.312,36048.426,1721.941,34326.485,42.16,6.63,6.32,6.31,19.4067,91.6851,103.021215633068,3287906.69,46.6317902,56.50505028,53.55922699,33.7951253666949,54.129398,52.9779148,103.4862,102.9425,422916,4.6,145062,2.48,2366.82217391304,20663.22,96.9
2017/04,106.203845756346,103.940395994527,99.816132823731,100.258741236574,109.798941954552,104.04958474,95.8698768070526,94.838932628163,95.654828821857,91.257264953844,4.08632895,7,16285224,50.6945095,30869.68,27998.936,31768.954,1679.204,30089.75,43.49,6.87,6.5,6.57,18.7584,89.4432,104.420440112029,3318093.467,47.68065062,52.17653596,51.129197595,34.9345007309472,49.1994987,51.1478264,102.0092,102.6036,407457,4.1,146086,2.3,2359.30947368421,20940.51,97
2017/05,112.30423198638,114.667816298955,105.540492352258,103.199886302118,115.871031337801,110.79149379,108.982985817042,94.725494320572,95.918104493257,91.374351972567,4.13919591,16,16349612,51.746451,36546.951,33601.509,35342.342,1630.558,33711.784,43.88,6.98,6.56,6.63,18.7862,90.3979,103.541891720905,3269863.523,48.46270624,56.14547488,53.7511206,35.8732786809579,53.3466375,52.7998659,103.3433,103.5469,435053,4.1,146925,2.3,2395.34590909091,21008.65,97.1
2017/06,112.798503169303,132.458572257025,105.542790093243,106.152795550446,115.76161886847,109.80567593,109.445836885466,94.963639641805,96.210052333253,91.040977135856,3.77672183,10,16448430,51.8374458,35548.917,32448.292,35547.887,1780.551,33767.335,41.3,7.21,6.82,6.85,18.1901,87.9837,105.545349719094,3147326.854,49.36497992,53.72638696,53.19612314,36.0103570409143,48.150976,52.4700082,106.284,105.4931,423705,4.5,147568,2.19,2433.98545454545,21349.63,95
2017/07,108.955609677434,107.927639256567,102.907136473303,105.903805960756,112.303564379293,111.35353635,105.510328284794,95.322735741331,96.467769878232,90.811778307569,4.07236428,4,16474863,51.3831236,33687.183,30553.614,32155.156,1940.723,30214.433,44.1,7.37,6.99,7.06,17.8513,86.6955,107.582291374999,3096773.403,50.64210472,52.2943382,51.79247623,36.4886272920648,47.5430514,50.8413636,104.5709,101.4125,417371,4.6,146465,2.32,2454.1025,21891.12,93.4
2017/08,111.770458400456,87.538612281838,106.224006962388,104.910499858459,116.014368383734,111.29458175,112.139731789584,95.793767654306,96.712676571628,90.864251960326,4.4521179,3,16561724,51.549,38513.13,34482.471,35926.907,1850.193,34076.714,45.85,7.38,6.94,7.04,17.8078,87.3498,107.470095675143,3085457.251,50.088,55.21555116,52.578,36.5055008281237,52.6874158,50.385,106.1917,104.1295,432404,4.5,146782,2.21,2456.22304347826,21948.1,96.8
2017/09,106.321624807653,78.899627890457,101.668760132378,109.340061437771,110.239362412774,104.76930126,110.776131049513,96.093515235291,96.98562151818,90.988347198789,4.45108906,0,16664966,51.342,35706.801,32085.508,33771.318,1929.871,31841.447,48.3,7.38,6.99,7.04,17.7991,87.681,105.326451305071,3142073.633,50.294,50.307,50.688,36.7879476864295,50.07,50.673,104.7308,103.7343,413093,4.1,147170,2.2,2492.841,22405.09,95.1
2017/10,112.847041860315,98.339780727397,105.794723237722,108.189758884139,117.421437080119,111.10278683,109.494369425322,96.69826912675,97.23048409793,91.842142817244,4.13644257,8,16785900,51.008,38969.493,34887.18,36715.63,2279.544,34436.085,49.43,7.38,7.03,7.04,18.7247,90.8187,101.090813487937,3310398.739,49.714,54.64,51.906,36.4369832401535,53.096,50.52,105.7439,105.5815,418517,3.9,148183,2.36,2556.99727272727,23377.24,100.7
