,Culiacán_ASCENDING
0,36878
1,20838
2,17905
3,6556
4,3519
5,5644
6,38497
7,13308
8,10908
9,17966
10,33326
11,4734
12,82562
13,316529
14,100946
15,105510
16,82115
17,107501
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,203874
29,140637
30,183471
31,894085
32,479308
33,145435
34,222223
35,112264
36,38926
37,80752
38,29590
39,15619
40,9035
41,10974
42,34377
43,34726
44,12605
45,23283
46,58618
47,62086
48,24705
49,41324
50,29232
51,9666
52,8205
53,15095
54,73565
55,619058
56,12621
57,18115
58,41849
59,0
