,Culiacán_DESCENDING
0,0
1,242436
2,66915
3,55534
4,58147
5,42546
6,86158
7,39998
8,36141
9,72376
10,119452
11,31795
12,52923
13,180414
14,189670
15,247885
16,126329
17,202729
18,216206
19,260590
20,161448
21,208026
22,232667
23,154477
24,205776
25,285191
26,209109
27,202021
28,227686
29,216703
30,253145
31,317994
32,149532
33,193234
34,298030
35,139543
36,25507
37,59569
38,23635
39,14346
40,23504
41,52019
42,52593
43,55952
44,23766
45,21054
46,77755
47,10441
48,19541
49,51655
50,34109
51,20418
52,20999
53,72837
54,180658
55,97992
56,17803
