,Durango_DESCENDING
0,0
1,96571
2,16882
3,20461
4,73269
5,184679
6,25832
7,16314
8,9741
9,40930
10,14114
11,24968
12,19003
13,27341
14,25546
15,38545
16,76905
17,26243
18,21831
19,52110
20,26831
21,141778
22,52693
23,39124
24,136225
25,124557
26,110397
27,108594
28,110867
29,329995
30,40082
31,82947
32,35773
33,29287
34,131774
35,161656
36,1201
37,1773
38,808
39,827
40,1304
41,20591
42,19361
43,2340
44,2737
45,3458
46,864
47,322
48,1483
49,2196
50,1891
51,805
52,1888
53,45539
54,1300
55,1326
56,2911
