,Hermosillo_DESCENDING
0,0
1,369727
2,449320
3,309937
4,133227
5,222301
6,164329
7,182733
8,291432
9,363814
10,386940
11,94164
12,109747
13,301032
14,2390704
15,398338
16,127171
17,108187
18,183504
19,286758
20,327841
21,470301
22,369611
23,231552
24,231913
25,295179
26,489030
27,573988
28,406766
29,151539
30,254452
31,254542
32,380208
33,366398
34,271175
35,89881
36,15127
37,7721
38,377683
39,50943
40,9098
41,8371
42,6535
43,12870
44,29405
45,120226
46,152066
47,3451
48,1875
49,5332
50,229411
51,47828
52,8234
53,14812
54,10436
55,38170
56,45913
