,La Paz_DESCENDING
0,0
1,617927
2,297981
3,172743
4,110491
5,292783
6,246801
7,446524
8,302706
9,314637
10,307268
11,248429
12,328772
13,2758446
14,1146855
15,171088
16,83127
17,236631
18,118941
19,240157
20,211315
21,197658
22,207913
23,158303
24,140730
25,247772
26,154217
27,229335
28,166061
29,127275
30,335920
31,122741
32,663496
33,734277
34,495500
35,312748
36,6762
37,3139
38,4266
39,1118
40,1416
41,9696
42,3325
43,9842
44,1064
45,2662
46,2997
47,1557
48,6625
49,3566
50,4490
51,2257
52,2251
53,2923
54,1792
55,1576
56,5855
