,Mexicali_ASCENDING
0,5191672
1,5578844
2,5073923
3,750155
4,800138
5,1853024
6,684344
7,622014
8,429094
9,968289
10,778657
11,767739
12,3867616
13,221301
14,3170329
15,438626
16,640003
17,1033623
18,2470790
19,2262671
20,3782730
21,2888655
22,1428847
23,908784
24,1771944
25,1319405
26,1355021
27,1634267
28,1057089
29,971146
30,1371847
31,3808314
32,2735545
33,2069497
34,1824829
35,1473202
36,447292
37,128112
38,112135
39,109499
40,280916
41,85569
42,28635
43,65824
44,112063
45,134902
46,249065
47,80451
48,25887
49,30959
50,24938
51,58581
52,149157
53,44352
54,167532
55,104772
56,473255
