,Mexicali_DESCENDING
0,0
1,4801845
2,1645222
3,3533150
4,648682
5,604347
6,461297
7,678861
8,579322
9,248422
10,385515
11,519445
12,462507
13,1495512
14,1639948
15,378469
16,431248
17,626674
18,612053
19,773140
20,1881498
21,2245613
22,549207
23,794047
24,1005673
25,671113
26,739955
27,1365696
28,593595
29,602025
30,657734
31,2197173
32,931130
33,535666
34,529087
35,449975
36,78221
37,9442
38,8154
39,46359
40,27687
41,14687
42,5579
43,11671
44,22330
45,23245
46,119726
47,4520
48,11701
49,6243
50,3451
51,10649
52,29706
53,3364
54,21231
55,11259
56,168085
57,19704
58,9428
59,414333
