,Othón P. Blanco_ASCENDING
0,1284198
1,114116
2,117612
3,550855
4,564351
5,182959
6,153039
7,81898
8,0
9,603565
10,392381
11,274454
12,842679
13,229449
14,431244
15,448319
16,422356
17,566341
18,959829
19,792901
20,420499
21,787346
22,891297
23,889841
24,1106829
25,643047
26,1041307
27,890501
28,653739
29,652607
30,634935
31,1021160
32,935268
33,1274048
34,1386674
35,1841504
36,20138
37,737
38,522
39,299
40,47475
41,33339
42,16293
43,184
44,332
45,1394
46,302
47,497
48,966
49,349
50,335
51,6585
52,12760
53,1262
54,398
55,527
56,1040
