,Othón P. Blanco_DESCENDING
0,0
1,1430180
2,744578
3,60977
4,135063
5,189636
6,135584
7,410243
8,104613
9,174213
10,62544
11,59480
12,91204
13,32777055
14,29139119
15,422160
16,459431
17,435906
18,485206
19,647183
20,650449
21,702842
22,863752
23,484886
24,557570
25,792979
26,654716
27,945290
28,422108
29,1768763
30,691803
31,342768
32,648780
33,497942
34,656418
35,1588594
36,259524
37,1271
38,10117
39,1335
40,112571
41,55026
42,2677
43,3753
44,1994
45,20443
46,3625
47,712
48,1335
49,653
50,1291
51,11723
52,18106
53,34902
54,68777
55,1790
56,467
57,33706
58,27675
59,0
