,Saltillo_ASCENDING
0,63027
1,169120
2,39101
3,69185
4,127427
5,92684
6,51469
7,121114
8,0
9,0
10,10349
11,10465
12,70522
13,88225
14,43264
15,206090
16,216716
17,72042
18,38583
19,146205
20,16946
21,114968
22,142080
23,95605
24,111154
25,117458
26,67980
27,49647
28,95349
29,65643
30,47084
31,68122
32,24755
33,21606
34,153000
35,49979
36,7778
37,2255
38,5090
39,904
40,2070
41,0
42,2672
43,3417
44,6729
45,1846
46,1121
47,1497
48,1788
49,1833
50,1826
51,1365
52,1850
53,5249
54,11206
55,7667
56,3249
57,3635
58,1694
59,10235
