capital,population,area
Aguascalientes,948990,1181
cdmx,9209944,1458
Campeche,294077,3234
Centro,683607,1723
Chihuahua,937674,8393
Chilpancingo de los Bravo,283354,2188
Colima,157048,748
Cuernavaca,378476,200
Culiacán,1003530,6319
Durango,688697,9306
Guadalajara,1385629,151
Guanajuato,194500,1017
Hermosillo,936263,16978
La Paz,292241,15873
Mexicali,1049792,14661
Monterrey,1142994,325
Morelia,849053,1196
Mérida,995129,877
Oaxaca de Juárez,270955,90
Othón P. Blanco,233648,9989
Pachuca de Soto,314331,154
Puebla,1692181,537
Querétaro,1049777,685
Saltillo,879958,5631
San Luis Potosí,911908,1486
Tepic,425924,1607
Tlaxcala,99896,52
Toluca,910608,428
Tuxtla Gutiérrez,604147,336
Victoria,349688,1467
Xalapa,488531,125
Zacatecas,149607,443
